"","lizard_id","geo.mean_Mit_density","geo.mean_ROS","arith.mean_Mit_density","arith.mean_ROS"
"1","2851",1.81268261241472,2.63928966264199,1.96543695610281,2.93285112087544
"2","2873",2.29629000635674,2.79609030108098,2.38470629522735,2.88599871036222
"3","2885",2.05297572918589,2.71576860062363,2.17691316784926,2.82898483732056
"4","2904",1.66800649327303,1.88734174421154,1.92092162085254,2.37453086236133
"5","2908",2.01030351222285,2.901644856137,2.1243517207068,3.08874506628446
"6","2911",2.20303381780292,2.83475900398635,2.27527027021701,2.89501321679332
"7","2919",2.01911216501949,2.88581321927964,2.12166064192793,3.06183840230227
"8","2922",2.22625669109109,2.81931297915432,2.3210535013902,2.90050764262882
"9","2924",2.32962792109018,3.19644844484425,2.46202810824362,3.44613033346245
"10","2926",2.71720537232827,3.06066165352465,2.82101814393696,3.2100763406995
"11","2928",2.2484167637868,2.69364513052318,2.34661242571742,2.79958554097262
"12","2930",1.90388900429519,2.32173520239086,2.04701242249067,2.48377860412142
"13","2931",2.29077636611686,2.73858977209954,2.37063982281687,2.82793303479939
"14","2950",1.86923518232951,2.1188924884461,2.09434937418301,2.38197037314248
"15","2951",1.96024645107064,2.36384876964819,2.13634661028007,2.57848064621491
"16","2952",2.39126335678413,3.12564381146953,2.50820906447991,3.22507506861324
"17","2953",2.15041799334768,3.04788802021679,2.23725784987657,3.17872993331519
"18","2958",2.30341723145193,2.77796716522776,2.40224939588748,2.88196309661
"19","2959",2.12605270911294,2.76877102501227,2.2494774922646,2.87540073985874
"20","2960",1.83208471716039,2.24478075307512,2.03939806792493,2.72059098387635
"21","2961",1.53285303956834,1.7295848611522,1.70693990248996,2.10206664950228
"22","2967",2.49058451600221,2.84023302753715,2.61582845127213,3.00494637626563
"23","2968",2.20088723715447,2.82693239260939,2.28357876528749,2.89744717484747
"24","2970",2.43394675462197,2.68770331266393,2.64493730205362,2.95512393377232
"25","2971",1.96862372909003,2.86048668905774,2.07311633698075,3.02924180480615
"26","2981",2.1768887910746,2.65751766057564,2.25180956306717,2.73379862856841
"27","2982",1.7882220989845,2.10997685244237,1.95480314511767,2.33500326559576
"28","2983",2.07728853165256,2.52417300339549,2.16548870919692,2.61420125583393
"29","2984",2.00870735931854,2.83096959940091,2.16107186087348,3.12718626139229
"30","2993",2.28648549122894,2.75936203659986,2.3612307084044,2.84434485257936
"31","2995",2.19088344238186,2.8135643297009,2.31284681729964,2.92553340699197
"32","2997",2.59326632295475,2.82271413773768,2.76894329766283,3.06269925702204
"33","3009",1.88658172067718,2.3534477679519,2.02916588107214,2.54179628216751
"34","3014",2.49479900289878,2.99372235913064,2.55852481603544,3.06108113332607
"35","3023",2.01275519452067,2.75352986192351,2.14314309909641,2.89089887594387
"36","3024",1.96464513602178,2.81834610823439,2.07931307929643,3.01642510038498
"37","3025",2.32677771680666,2.5507629098521,2.49756228867028,2.76234820913989
"38","3029",2.19189345540204,2.59015231840308,2.28316810143391,2.67846499627326
"39","3031",2.20620320923951,2.93271268055611,2.32003140071377,3.03132950632198
"40","3033",2.11290856368988,2.97353001631808,2.23442717854289,3.18881055623405
"41","3034",2.16310246691965,2.31278446604168,2.42890979334065,2.60074726337055
"42","3038",2.036376113457,2.72382351394378,2.12005857378081,2.8727070754212
"43","3039",2.18483124304912,2.85710354881217,2.32412453110604,2.99115747933861
"44","3040",2.42748828603251,2.7797493084936,2.56767700285656,2.97150320529622
